学科,技能名称,子分类,skills类型,简介,tool_chain_key,score_frequency,score_dependency,score_speed,score_synergy,score_total,pool,Selection_Reason
化学与分子信息学,转录组学标准全流程,转录组学,脚本,一键生成 scRNA-seq 质控、降维聚类、细胞注释、差异分析与通路富集的标准工作流。,x,10.0,9.5,6.0,10.0,9.07,omics,单细胞 QC→聚类→注释→差异/富集主链路，与 Scanpy 快车道及 STED-EC 下游完全同构；依赖以 Scanpy 为主、分钟–小时级。
生物医药,差异标志物发现,代谢组学,脚本,面向代谢物 biomarker：缺失值与归一化、PCA/PLS-DA、多维模型效能对比、VIP 与显著性筛选。,kegg,3.0,9.5,7.0,7.5,6.55,omics,代谢/转录标志物筛选为日常高频；对接现有代谢组与 scRNA marker 工具，无 HPC 组装。
生物医药,基因富集分析,数据分析,脚本,使用Enrichr进行基因富集分析，发现与基因列表相关的生物通路、过程和分子功能。返回基因与富集术语之间的关联路径。,,3.0,9.5,7.0,7.5,6.55,omics,通路富集是解释差异结果的标配；与 GSEA/富集节点及转录组全流程末段天然串联。
生物医药,RNA二级结构可视化工具,数据可视化,脚本,基于RNA碱基序列生成其对应的二级结构图示。,rna,5.0,9.5,7.0,5.0,6.53,omics,序列→结构快速预览；可走 ViennaRNA/PySkills，秒–分钟级，补全核酸分析拼图。
化学与分子信息学,分子格式转换工具,数据处理,脚本,基于RDKit，实现SMILES、SDF、Mol、InChI等化学结构格式的相互转换与标准化。（磐石：支持对话调用）,rdkitTransform,3.0,9.5,7.0,10.0,7.17,chem,SMILES/MOL/SDF 互转是化学流水线入口；RDKit/OpenBabel 成熟易部署，支撑药性评估前后格式统一。
化学与分子信息学,二维分子结构可视化,数据分析,脚本,使用RDKit可视化二维分子结构。支持SMILES、InChI、分子名称等多种输入格式，可输出PNG、SVG及交互式HTML等多种格式。,,8.0,9.5,7.0,8.0,8.18,chem,SMILES→2D 图是药物化学日报级需求；纯 RDKit 渲染，秒级出图。
化学与分子信息学,检索相似小分子,数据分析,脚本,通过ChEMBL网络服务，根据给定的SMILES字符串、chembl_id或化合物/药物名称检索相似分子。注意：本工具仅适用于小分子化合物。生物制剂（抗体、蛋白质等）因缺乏SMILES结构而无法使用相似性检索。对于生物制剂的相似性检索，请使用BLAST_protein_search（需提供氨基酸序列）或UniProt_search。对于小分子，可使用PubChem_search_compounds_by_similarity（需提供SMILES输入）。,,7.5,8.5,9.0,10.0,8.68,chem,结构类似物发现核心；与已上线 Tanimoto/药物相似性快车道一致，联网+指纹双模式。
化学与分子信息学,ChEMBL药物检索,数据分析,脚本,根据药物名称、审批状态或其他条件检索ChEMBL数据库中的药物信息,chembl,2.0,9.5,9.0,5.0,6.03,chem,药物发现信息入口；REST API 轻依赖，可与相似性检索、ADMET 串联。
生物医药,ADMET性质预测工具,预测与建模,脚本,预测一组化合物的 ADMET 药代动力学属性，包括溶解性、吸收、代谢、毒性等。（磐石：支持对话调用）,admet,2.5,9.5,7.0,10.0,7.03,chem,成药性评估高频；与 Lipinski 五规则快车道互补，规则/模型均可快速返回。
生物医药,核酸序列比对,数据分析,脚本,使用NCBI BLAST blastn工具在核酸数据库中搜索核酸序列,,2.0,8.5,7.0,5.0,5.38,omics,序列分析基石；CLI 成熟(blast/muscle 类)，分钟级，可接入 FASTA 挂载链路。
生物医药,蛋白质序列比对,数据分析,脚本,使用NCBI BLAST的blastp算法在蛋白质数据库中搜索相似序列,,4.5,8.5,7.0,8.0,6.88,omics,蛋白注释与同源分析基础；与保守性/表位技能上下游衔接。
化学与分子信息学,子结构搜索化合物,数据分析,脚本,在PubChem中搜索包含给定子结构(SMILES)的所有CID,,7.5,9.5,7.0,8.0,8.03,chem,药效团与骨架筛选常用；RDKit 子结构匹配，秒–分钟级。
化学与分子信息学,通过SMILES获取CID,数据分析,脚本,通过SMILES字符串检索对应的PubChem CID列表,smilesCid,5.0,9.5,9.0,8.0,7.67,chem,PubChem 标识符桥接；API 调用、秒级，连通相似检索与数据库查询。
生物医药,MHC关联表位检索,数据分析,脚本,基于IEDB查询API搜索MHC相关实验数据行，用于发现涉及MHC限制的表位`structure_id`值。可使用`select`参数仅请求少量字段以优化响应速度。,mhc,2.0,9.5,9.0,7.5,6.65,general,免疫表位发现；与 BepiPred 表位预测形成「预测+库检」闭环。
化学与分子信息学,3D分子结构渲染工具,数据可视化,脚本,用于渲染通用小分子的三维结构，支持MOL、SDF格式。,molPreview,8.0,9.5,7.0,5.0,7.43,chem,分子 3D 展示与沟通；molPreview/RDKit 轻量可视化，支撑化学报告右栏。
